Name,Fertilizer Import From Russia,Wealth Index,Country Code,Region
Angola,20.1,"6,878",AGO,Africa
Albania,69.1,"15,225",ALB,Europe
United Arab Emirates,6.1,"59,844",ARE,Asia
Argentina,18.4,"22,141",ARG,Americas
Armenia,41.3,"13,638",ARM,Asia
Australia,8.6,"54,891",AUS,Oceania
Austria,0.2,"57,891",AUT,Europe
Azerbaijan,85,"14,856",AZE,Asia
Burundi,22.3,772,BDI,Africa
Belgium,33.5,"53,973",BEL,Europe
Benin,34.3,"3,573",BEN,Africa
Burkina Faso,63.6,"2,334",BFA,Africa
Bangladesh,,"5,733",BGD,Asia
Bulgaria,33.5,"25,471",BGR,Europe
Bosnia and Herzegovina,3.8,"15,935",BIH,Europe
Belize,1.7,"6,133",BLZ,Americas
Bolivia,17.1,"8,832",BOL,Americas
Brazil,21.7,"15,643",BRA,Americas
Barbados,,"14,329",BRB,Americas
Brunei,,"64,405",BRN,Asia
Central African Republic,90.8,"1,013",CAF,Africa
Canada,22.7,"51,713",CAN,Americas
Switzerland,5.2,"75,880",CHE,Europe
Chile,9.3,"24,928",CHL,Americas
China,6.4,"18,931",CHN,Asia
Ivory Coast,59.5,"5,642",CIV,Africa
Cameroon,39.1,"3,745",CMR,Africa
Democratic Republic of the Congo,8.1,,COD,
Republic of Congo,39.6,,COG,
Colombia,28,"15,184",COL,Americas
Costa Rica,53.3,"20,667",CRI,Americas
Cuba,5.2,N/A,CUB,Americas
Cyprus,33.5,"41,595",CYP,Asia
Czech Republic,33.5,"42,956",CZE,Europe
Germany,33.5,"56,956",DEU,Europe
Denmark,33.5,"61,478",DNK,Europe
Dominican Republic,14.8,"19,799",DOM,Americas
Algeria,17.4,"11,433",DZA,Africa
Ecuador,54.3,"11,331",ECU,Americas
Egypt,3.2,"13,083",EGY,Africa
Spain,33.5,"41,546",ESP,Europe
Estonia,33.5,"39,729",EST,Europe
Ethiopia,5.6,"2,973",ETH,Africa
Finland,33.5,"51,867",FIN,Europe
Fiji,,"12,298",FJI,Oceania
France,33.5,"49,492",FRA,Europe
Gabon,15.5,"16,244",GAB,Africa
UK,33.5,,GBR,
Georgia,60.6,"15,709",GEO,Asia
Ghana,46.8,"5,968",GHA,Africa
Guinea,16.5,"2,731",GIN,Africa
Gambia,2.4,"2,384",GMB,Africa
Equatorial Guinea,10.3,"18,236",GNQ,Africa
Greece,33.5,"30,495",GRC,Europe
Guatemala,19.8,"8,648",GTM,Americas
Guyana,16.7,"23,258",GUY,Americas
Honduras,63.2,"5,698",HND,Americas
Croatia,33.5,"29,777",HRV,Europe
Hungary,33.5,"35,088",HUN,Europe
Indonesia,1.1,"12,882",IDN,Asia
India,2.1,"7,333",IND,Asia
Ireland,33.5,"99,239",IRL,Europe
Iran,0.3,"13,513",IRN,Asia
Iraq,0,"10,038",IRQ,Asia
Iceland,5.8,"58,151",ISL,Europe
Israel,34.6,"42,570",ISR,Asia
Italy,33.5,"43,376",ITA,Europe
Jordan,0.1,"10,590",JOR,Asia
Japan,0.7,"44,585",JPN,Asia
Kazakhstan,79.9,"27,560",KAZ,Asia
Kenya,1.5,"5,274",KEN,Africa
Kyrgyzstan,39,"5,323",KGZ,Asia
Cambodia,0.2,"4,930",KHM,Asia
South Korea,0.4,"47,027",KOR,Asia
Kuwait,2.4,"41,507",KWT,Asia
Laos,,"8,519",LAO,Asia
Lebanon,14,"11,564",LBN,Asia
Liberia,71.5,"1,602",LBR,Africa
Sri Lanka,,"13,909",LKA,Asia
Lithuania,33.5,"40,784",LTU,Europe
Luxembourg,33.5,"122,740",LUX,Europe
Latvia,33.5,"33,394",LVA,Europe
Morocco,42.7,"8,027",MAR,Africa
Moldova,83.9,"13,879",MDA,Europe
Madagascar,0.1,"1,639",MDG,Africa
Mexico,27.7,"20,266",MEX,Americas
North Macedonia,8.6,"17,663",MKD,Europe
Mali,44.2,"2,469",MLI,Africa
Malta,33.5,"45,042",MLT,Europe
Myanmar,0.4,"4,831",MMR,Asia
Montenegro,4.6,"21,355",MNE,Europe
Mongolia,95.7,"12,431",MNG,Asia
Mozambique,18.5,"1,293",MOZ,Africa
Mauritania,25.6,"5,993",MRT,Africa
Mauritius,14.3,"22,030",MUS,Africa
Malawi,0.6,"1,005",MWI,Africa
Malaysia,2.1,"29,340",MYS,Asia
Namibia,12.3,"9,542",NAM,Africa
Niger,,"1,320",NER,Africa
Nigeria,31.2,"5,280",NGA,Africa
Nicaragua,65.7,"5,648",NIC,Americas
Netherlands,33.5,"60,461",NLD,Europe
Norway,2,"69,171",NOR,Europe
New Zealand,0.3,"44,226",NZL,Oceania
Oman,5.7,"30,404",OMN,Asia
Pakistan,0.8,"5,973",PAK,Asia
Panama,52.6,"30,388",PAN,Americas
Peru,55.7,"12,985",PER,Americas
Philippines,0.3,"9,061",PHL,Asia
Poland,33.5,"35,957",POL,Europe
Portugal,33.5,"36,079",PRT,Europe
Paraguay,9.6,"13,454",PRY,Americas
Qatar,,"97,262",QAT,Asia
Romania,33.5,"32,950",ROU,Europe
Rwanda,0.9,"2,458",RWA,Africa
Saudi Arabia,3.2,"48,099",SAU,Asia
Sudan,0,"4,082",SDN,Africa
Senegal,19,"3,625",SEN,Africa
Singapore,83.5,"102,742",SGP,Asia
Sierra Leone,23.4,"1,771",SLE,Africa
El Salvador,24.2,"8,891",SLV,Americas
Serbia,33.6,"20,545",SRB,Europe
Suriname,56.6,"14,703",SUR,Americas
Slovakia,33.5,"34,815",SVK,Europe
Slovenia,33.5,"40,820",SVN,Europe
Sweden,33.5,"55,566",SWE,Europe
Seychelles,5.4,"26,119",SYC,Africa
Chad,,"1,621",TCD,Africa
Togo,16.6,"2,261",TGO,Africa
Thailand,0.2,"19,004",THA,Asia
Tajikistan,3.5,"3,856",TJK,Asia
Turkmenistan,0.1,"17,415",TKM,Asia
Trinidad,,,TTO,
Tunisia,7.8,"10,594",TUN,Africa
Turkey,5.7,"32,278",TUR,Asia
Tanzania,19.2,"2,863",TZA,Africa
Uganda,1.2,"2,706",UGA,Africa
Ukraine,33.8,"13,943",UKR,Europe
Uruguay,7.6,"23,474",URY,Americas
USA,22.4,"68,309",USA,Americas
Uzbekistan,9.2,"7,830",UZB,Asia
Vietnam,2,"11,677",VNM,Asia
South Africa,4.5,"12,442",ZAF,Africa
Zambia,2.5,"3,322",ZMB,Africa
Zimbabwe,15,"2,698",ZWE,Africa
